word,pos,phonetic,chinese,definition_en,synonym1,synonym2,synonym3,easy_sentence,part3_sentence,sentence_cn_easy,sentence_cn_part3
advice,n.,/ədˈvaɪs/,建议,opinions about what to do,suggestion,guidance,tip,He gave me good ______.,Parents should give ______ that fits a child's age.,他给了我好建议。,父母应给出适合孩子年龄的建议。
after dark,phr.,/ˈɑːftə/ /dɑːk/,天黑后；黄昏后,after the sun sets,at night,when dark,after sunset,Don't go out ______.,Cities should light streets well ______ for safety.,天黑后别出去。,城市应在天黑后把街道照亮以保障安全。
agency,n.,/ˈeɪʤənsi/,中介,a business that provides a service,office,firm,bureau,She works for a travel ______.,A job ______ helps people find work in new cities.,她在一家旅行社工作。,职业介绍所帮助人们在陌生城市找到工作。
agent,n.,/ˈeɪʤənt/,代理人，代理商,a person who acts for a company,representative,broker,delegate,The ______ sold us the ticket.,A travel ______ can save tourists time and money.,代理人卖给我们票。,旅行代理能替游客节省时间和金钱。
alarm,n.,/əˈlɑːm/,闹钟,a sound that warns you,warning,bell,alert,The ______ woke me up.,A fire ______ in a school must be tested often.,闹钟把我吵醒了。,学校的火警警报必须经常测试。
although,conj.,/ɔːlˈðəʊ/,虽然；尽管,despite the fact that,though,even though,while,"______ it rained, we went out.","______ cities are busy, many people still feel lonely.",虽然下雨了，我们还是出去了。,尽管城市喧嚣，许多人仍感到孤独。
apartment,n.,/əˈpɑːtmənt/,公寓,a set of rooms to live in,flat,unit,suite,They rent a small ______.,A cheap ______ is hard to find near city centres.,他们租了一套小公寓。,在市中心附近很难找到便宜的公寓。
apartment block,n.,/əˈpɑːtmənt/ /blɒk/,公寓楼,a building with many flats,block of flats,housing block,residential building,He lives in a tall ______.,Old ______ can be rebuilt to save energy.,他住在一栋高高的公寓楼里。,老旧公寓楼可重建以节省能源。
attic,n.,/ˈætɪk/,阁楼,a space under the roof,loft,roof space,top room,We store boxes in the ______.,A warm ______ can be a good study corner.,我们把箱子存放在阁楼。,温暖的阁楼可以是很好的学习角落。
basement,n.,/ˈbeɪsmənt/,地下室,a floor below ground level,cellar,lower floor,underground room,The washing machine is in the ______.,A dry ______ keeps books safe from damp.,洗衣机在地下室。,干燥的地下室能让书免受潮湿。
bath,n.,/bɑːθ/,浴缸,a wash of the whole body in water,wash,soak,tub bath,I take a ______ every night.,A warm ______ helps old people relax before sleep.,我每晚泡个澡。,温水澡帮助老人在睡前放松。
blind,n.,/blaɪnd/,瞎的；失明的,a cover pulled over a window,shade,window cover,screen,"Close the ______, please.",Soft ______ keep a room cool in hot summers.,请把百叶窗拉上。,柔软的遮光帘能在炎夏让房间凉爽。
broadband,n.,/ˈbrɔːdˌbænd/,宽带,fast connection to the internet,high-speed internet,fast connection,web access,We have ______ at home.,Rural areas need ______ to close the education gap.,我们家有宽带。,农村地区需要宽带以缩小教育差距。
campus,n.,/ˈkæmpəs/,（大学）校区,the grounds of a school or university,school grounds,university area,college site,The ______ is very large.,A safe ______ encourages students to walk and talk.,校园非常大。,安全的校园鼓励学生走动交流。
capital letter,n.,/ˈkæpɪtəl/ /ˈlɛtə/,大写字母,the big form of a letter (A not a),upper-case letter,big letter,majuscule,Write the name in a ______.,Using a ______ at the start of a sentence is a basic rule.,用大写字母写这个名字。,句首使用大写字母是基本规则。
cater,v.,/ˈkeɪtə/,提供饮食,to provide food for an event,provide food,supply meals,serve,They ______ for birthday parties.,Schools should ______ for students with special diets.,他们为生日派对供餐。,学校应为有特殊饮食的学生供餐。
celebrate,v.,/ˈsɛləbreɪt/,庆祝；庆贺,to mark a special event with joy,honour,commend,observe,We ______ her birthday together.,Festivals let cities ______ their own culture.,我们一起庆祝她的生日。,节日让城市庆祝自己的文化。
chance,n.,/ʧɑːns/,机会；机遇,a possibility or opportunity,opportunity,possibility,luck,I have a ______ to win.,Every child should have a ______ to study.,我有机会赢。,每个孩子都应有学习的机会。
choice,n.,/ʧɔɪs/,选择；抉择,the act of choosing; an option,option,selection,decision,You have a ______ to make.,Free ______ of school helps families find the best fit.,你需要做一个选择。,自由择校帮助家庭找到最合适的学校。
choose,v.,/ʧuːz/,选择；挑选,to pick one from many,select,pick,decide on,I ______ the red one.,Young people should ______ friends who help them grow.,我选了红色的那个。,年轻人应选择助其成长的朋友。
circle,n.,/ˈsɜːkəl/,环行,a round shape with no end,ring,round,loop,Draw a ______ on the paper.,The ______ is a common symbol in many cultures.,在纸上画一个圆。,圆形在许多文化中都是常见符号。
comfortable,adj.,/ˈkʌmfətəbəl/,使人舒服的；舒适的,pleasant to sit in or be in,cosy,relaxed,snug,This chair is very ______.,A ______ home improves a family's quality of life.,这把椅子很舒服。,舒适的家提升家庭生活质量。
company,n.,/ˈkʌmpəni/,公司,a business that sells things,firm,business,corporation,He works for a big ______.,A green ______ can lead change in its industry.,他在一家大公司工作。,绿色公司能引领行业变革。
connect,v.,/kəˈnɛkt/,（使）连接,to join or link two things,link,join,attach,Please ______ the cable to the TV.,Fast trains ______ cities and save travel time.,请把线缆连到电视上。,高铁连接城市并节省出行时间。
conversation,n.,/ˌkɒnvəˈseɪʃən/,谈话,a talk between two or more people,talk,chat,discussion,We had a long ______.,Open ______ at home builds trust between parents and children.,我们进行了长谈。,家庭中的开放对话建立亲子信任。
cooker,n.,/ˈkʊkə/,厨灶；炉具,a machine used for cooking food,stove,oven,kitchen appliance,The ______ is broken.,A clean ______ keeps a kitchen safe and healthy.,灶具坏了。,干净的灶具保障厨房安全卫生。
correctly,adv.,/kəˈrɛktli/,准确无误地；正确地,in the right way,rightly,properly,accurately,Please answer the question ______.,Data must be read ______ before any conclusion.,请正确回答这个问题。,在得出结论前必须正确读取数据。
course,n.,/kɔːs/,课程,a set of lessons on a subject,class,lesson series,programme,I take a cooking ______.,A short ______ can teach adults a new skill.,我上烹饪课。,短期课程能教成年人一项新技能。
cover,v.,/ˈkʌvə/,盖；覆盖,to put something over a surface,protect,wrap,shield,"______ the food, please.",Trees ______ the hills and stop soil from washing away.,请把食物盖上。,树木覆盖山丘，防止土壤流失。
curtain,n.,/ˈkɜːtən/,窗帘,cloth hung to cover a window,drape,blind,window cloth,Open the ______ to let in light.,Thick ______ keep a room warm in winter.,拉开窗帘让光进来。,厚窗帘能在冬天让房间保暖。
dark,adj.,/dɑːk/,褐色的；乌黑的,with little or no light,dim,unlit,black,The room is too ______.,A ______ street at night can be unsafe for walkers.,房间太暗了。,夜晚黑暗的街道对行人可能不安全。
definitely,adv.,/ˈdɛfɪnətli/,肯定,without any doubt,certainly,surely,clearly,I will ______ come to the party.,Cities ______ need more green spaces for health.,我一定会来参加派对。,城市一定需要更多绿地来保障健康。
detached house,n.,/dɪˈtæʧt/ /haʊs/,独幢房,a house not joined to others,standalone house,separate house,free-standing house,They live in a ______.,A ______ gives a family more quiet and privacy.,他们住在一栋独立屋。,独立屋给家庭更多安静与隐私。
difference,n.,/ˈdɪfərəns/,差别；差异,how two things are not the same,contrast,gap,variation,What is the ______ between them?,Income ______ within a city can cause social tension.,它们之间有什么区别？,城市内的收入差距会引发社会紧张。
double,adj.,/ˈdʌbəl/,（使）加倍,twice as much or two of something,twofold,twin,paired,We need a ______ room.,The ______ burden of work and family stresses many women.,我们需要一间双人房。,工作与家庭双重负担让许多女性承压。
downstairs,adv.,/ˌdaʊnˈsteəz/,往楼下,on a lower floor of a building,below,on the lower floor,down,He went ______ to open the door.,Children should play ______ where parents can see them.,他下楼去开门。,孩子应在父母能看见的楼下玩耍。
drawer,n.,/drɔː/,抽屉,a box that slides in and out of furniture,tray,compartment,box,Put the pens in the ______.,A tidy ______ saves time when you study.,把笔放进抽屉。,整洁的抽屉能节省学习时间。
else,adv.,/ɛls/,其他的；别的,in addition; different,otherwise,differently,more,What ______ can we do?,"If nothing ______ works, ask a teacher for help.",我们还能做什么别的？,如果没有别的办法，就向老师求助。
email,n.,/ˈiːmeɪl/,邮件,a message sent by computer,e-mail,message,letter,Send me an ______ with the file.,______ lets students contact teachers after class.,把文件用电子邮件发给我。,电子邮件让学生课后联系老师。
engineering,n.,/ˌɛnʤɪˈnɪərɪŋ/,工程学,the work of building machines and structures,technology,design,construction,He studies ______ at university.,Good ______ solves problems like clean water supply.,他在大学学工程学。,好的工程学解决如清洁供水等问题。
enough,adj.,/ɪˈnʌf/,充分,as much as needed,sufficient,plenty,adequate,We have ______ time to finish.,Not ______ homes means some families live in poor conditions.,我们有足够的时间完成。,住房不足意味着一些家庭居住在恶劣环境中。
flat,n.,/flæt/,平滑的,"a set of rooms to live in, in a building",apartment,unit,suite,They rent a small ______ near school.,A cheap ______ helps students live close to campus.,他们在学校附近租了小公寓。,便宜的公寓帮助学生住得离校园近。
freezer,n.,/ˈfriːzə/,冰柜,a cold box that keeps food frozen,fridge-freezer,cold store,icebox,Put the meat in the ______.,A home ______ reduces food waste from cooking.,把肉放进冷冻室。,家用冷冻柜减少做饭产生的食物浪费。
fridge,n.,/frɪʤ/,冰箱,a cold box that keeps food fresh,refrigerator,cooler,icebox,The ______ is empty today.,A shared ______ in a flat needs clear rules.,冰箱今天空了。,合租屋里的共用冰箱需要明确规则。
